pair_id,query_id,query,organization_name,category,public_description,public_tags,review_snippets,hidden_tags,label,relevance_score
4995,late_pharmacy,аптека ночью,Место Room,pharmacy,крафт хорошие блюда с животными нельзя фармацевт терраса,beer good_food no_pets pharmacy terrace,"В отзывах часто пишут: место для ноутбука, терраса, кофе.",24h cafe delivery power_outlets,1,0.89
4996,sports_bar,спортбар с трансляциями,Север на Тверской,restaurant,коктейли эль большой экран кофейня блюда,bar beer big_screen cafe restaurant romantic sports_broadcasts,"В отзывах часто пишут: очень шумно, пиво, футбол.",cafe live_music noisy reservation,1,0.9267
4997,terrace_restaurant,ресторан с верандой,Мята на Тверской,restaurant,кафе закрывается рано семейно аниматор блюда,cafe closed_evening family_friendly kids_room restaurant,"В отзывах часто пишут: 24 часа, кафе, gluten free, ужин.",24h gluten_free jazz water_for_pets,0,0.4633
4998,vegan_food,ресторан с vegan меню,Место Room,restaurant,хорошие блюда,good_food,"В отзывах часто пишут: растительное меню, вкусно.",long_stay vegan,1,0.8533
4999,terrace_restaurant,кафе с открытой верандой,Атлас Room,bar,коктейли вкусно детские праздники терраса,bar good_food kids_party terrace,"В отзывах часто пишут: детские праздники, ужин, вкусно.",restaurant sports_broadcasts,1,0.8533
5000,terrace_restaurant,ужин на летней террасе,Север Парк,cafe,десерты не шумно,cafe quiet,"В отзывах часто пишут: заказ столика, без молока и мяса, только мясо, кофейня.",meat_only reservation restaurant terrace vegan,1,0.8533
5001,late_pharmacy,аптека ночью,Город Парк,cafe,крафт десерты саксофон,beer cafe jazz,"В отзывах часто пишут: живая музыка, кофе.",24h delivery good_food near_metro no_pets pharmacy sports_broadcasts water_for_pets,1,1.0
5002,romantic_jazz_bar,романтичный джаз-бар,Город Плюс,restaurant,эль вежливый персонал джаз,beer friendly_staff jazz,"В отзывах часто пишут: вежливый персонал, зерно, джаз, эль, напитки.",bar good_coffee romantic vegan wifi,1,0.78
5003,kids_cafe,куда сходить с ребенком поесть,Мята Room,pharmacy,desserts дружелюбно к семье заботливые официанты аниматор очень шумно,desserts family_friendly friendly_staff kids_room noisy pharmacy,"В отзывах часто пишут: вежливый персонал, очень шумно.",cafe high_chairs late_hours pet_friendly pharmacy reservation,1,1.0
5004,quiet_coworking,кофейня с розетками и wifi,Фонарь Плюс,cafe,эль удобно с детьми спокойно без молока и мяса вода питомцам,beer family_friendly quiet vegan water_for_pets,"В отзывах часто пишут: эль, спокойно, громкая музыка.",24h loud_music sports_broadcasts,0,0.0
5005,kids_cafe,куда сходить с ребенком поесть,Соль Station,cafe,эль вкусно работает допоздна концерты без молока и мяса,beer good_food late_hours live_music vegan,"В отзывах часто пишут: вкусно, поздние часы, только для взрослых.",adults_only late_hours,0,0.0
5006,vegan_food,ресторан с vegan меню,Соль Плюс,cafe,живая музыка,live_music,"В отзывах часто пишут: крафт, сильная кухня, можно сидеть долго.",beer gluten_free good_food healthy_food long_stay pharmacy vegan,1,1.0
5007,sports_bar,паб с большим экраном,Мята на углу,pharmacy,пиво капучино аптека бронь веган,beer good_coffee pharmacy reservation vegan,"В отзывах часто пишут: бронь, веган, капучино.",bar good_food restaurant romantic sports_broadcasts,1,0.8533
5008,pet_friendly,ресторан куда можно с собакой,Лампа Room,bar,паб здоровая еда можно сидеть долго только мясо розетки,bar healthy_food long_stay meat_only power_outlets sports_broadcasts,"В отзывах часто пишут: закрывается рано, с животными нельзя, полезное меню, футбол, только мясо.",closed_evening family_friendly good_coffee no_pets,0,0.0
5009,vegan_food,где поесть без мяса и молока,Фонарь Плюс,cafe,вкусно рядом с метро с животными нельзя без молока и мяса вода питомцам,good_food near_metro no_pets vegan water_for_pets,"В отзывах часто пишут: кухня, у метро, веган, вкусно, с животными нельзя.",gluten_free restaurant romantic,1,0.9267
5010,pet_friendly,ресторан куда можно с собакой,Мята Station,restaurant,хорошие блюда у метро ресторан терраса,good_food near_metro restaurant terrace,"В отзывах часто пишут: розетки, сильная кухня, ужин, терраса, рядом с метро.",power_outlets,0,0.0733
5011,quiet_coworking,тихое место поработать с ноутбуком,Мята на Тверской,pharmacy,фармацевт свидание,pharmacy romantic,"В отзывах часто пишут: 24 часа, громкая музыка.",24h loud_music reservation,0,0.0
5012,terrace_restaurant,ресторан с верандой,Север Room,restaurant,кофейня дружелюбно к семье gluten free саксофон аниматор,cafe family_friendly gluten_free jazz kids_room restaurant wifi,"В отзывах часто пишут: ужин, кафе, вайфай, саксофон.",bar takeaway_only,0,0.1133
5013,pet_friendly,заведение с животными,Соль Парк,restaurant,без глютена детское меню,gluten_free kids_room,"В отзывах часто пишут: паб, заказ онлайн, телевизоры, gluten free, можно с собакой.",bar big_screen delivery pet_friendly takeaway_only terrace water_for_pets,1,0.9267
5014,pet_friendly,заведение с животными,Атлас Парк,bar,удобно с детьми заботливые официанты громкая музыка можно с собакой,family_friendly friendly_staff loud_music pet_friendly,"В отзывах часто пишут: заботливые официанты, семейно, доставка, pet friendly, миска для собаки.",delivery water_for_pets,1,0.9267
5015,pet_friendly,pet friendly кафе,Город Daily,cafe,кофейня только мясо можно с собакой миска для собаки,cafe meat_only pet_friendly water_for_pets,"В отзывах часто пишут: поздние часы, можно с собакой.",beer late_hours romantic terrace wifi,1,0.9267
5016,quiet_coworking,спокойное кафе для работы,Лампа Daily,restaurant,круглосуточно крафт gluten free детское меню тихо,24h beer gluten_free kids_room quiet restaurant,"В отзывах часто пишут: ужин, эль, gluten free, поздние часы.",beer late_hours loud_music power_outlets,0,0.0
5017,romantic_jazz_bar,уютный джазовый бар,Место Room,pharmacy,эль коктейли хороший кофе здоровая еда лекарства,beer cocktails good_coffee healthy_food pharmacy romantic,"В отзывах часто пишут: коктейли, крафт, свидание, фармацевт.",bar big_screen jazz,1,0.8533
5018,sports_bar,бар посмотреть футбол,Север на Тверской,restaurant,сильная кухня можно с собакой,good_food pet_friendly,"В отзывах часто пишут: барная карта, здоровая еда, можно с собакой, заказ онлайн, спокойно.",big_screen cocktails delivery healthy_food quiet,0,0.0
5019,late_pharmacy,аптека ночью,Место Плюс,cafe,кафе аниматор только навынос,cafe kids_room takeaway_only,"В отзывах часто пишут: вежливый персонал, трансляции, только навынос.",closed_evening friendly_staff long_stay sports_broadcasts wifi,0,0.0
5020,pet_friendly,ресторан куда можно с собакой,Оливка Лофт,pharmacy,авторские напитки до ночи pet friendly фармацевт интернет,cocktails late_hours pet_friendly pharmacy wifi,"В отзывах часто пишут: фармацевт, с животными нельзя.",24h cocktails no_pets,0,0.43
5021,kids_cafe,семейное кафе с игровой комнатой,Соль на углу,pharmacy,эль кафе барная карта без глютена фармацевт,beer cafe cocktails gluten_free pharmacy vegan,"В отзывах часто пишут: gluten free, джаз, фармацевт.",jazz loud_music,0,0.39
5022,pet_friendly,заведение с животными,Город Station,pharmacy,ночью открыто заботливые официанты живая музыка громкая музыка только мясо,24h friendly_staff live_music loud_music meat_only pharmacy,"В отзывах часто пишут: выступления, 24 часа, заботливые официанты, только мясо, фармацевт.",live_music,0,0.0733
5023,romantic_jazz_bar,уютный джазовый бар,Север Daily,bar,барная карта выступления романтичный вода питомцам,cocktails live_music romantic water_for_pets,"В отзывах часто пишут: джаз, свидание, поздние часы, барная карта.",bar jazz late_hours no_pets,1,1.0
5024,kids_cafe,куда сходить с ребенком поесть,Соль Парк,bar,саксофон аниматор очень шумно романтичный,jazz kids_room noisy romantic,"В отзывах часто пишут: барная карта, только для взрослых, джаз.",adults_only cocktails water_for_pets,0,0.04
5025,sports_bar,бар посмотреть футбол,Оливка на углу,bar,крафт здоровая еда работает допоздна летняя площадка,beer healthy_food late_hours terrace,"В отзывах часто пишут: эль, только навынос, очень шумно.",bar loud_music noisy sports_broadcasts takeaway_only,1,0.9267
5026,late_pharmacy,где купить лекарства поздно,Север Daily,cafe,ночью открыто кафе вежливый персонал вкусно веган,24h cafe friendly_staff good_food vegan,"В отзывах часто пишут: паб, ужин, рядом с метро, хорошие блюда.",bar cafe near_metro restaurant,0,0.5
5027,pet_friendly,pet friendly кафе,Город Плюс,pharmacy,детские праздники громкая музыка лекарства,kids_party loud_music pharmacy,"В отзывах часто пишут: детские праздники, фармацевт, с животными нельзя, пускают с питомцами.",24h good_coffee no_pets pet_friendly terrace,0,0.5033
5028,terrace_restaurant,ресторан с верандой,Оливка Парк,pharmacy,ночью открыто pet friendly аптека терраса,24h pet_friendly pharmacy terrace,"В отзывах часто пишут: круглосуточно, розетки, летняя площадка, лекарства.",family_friendly good_food kids_party late_hours power_outlets reservation restaurant,1,1.0
5029,sports_bar,бар посмотреть футбол,Место Парк,restaurant,пиво большой экран хороший кофе с животными нельзя футбол,beer big_screen good_coffee no_pets sports_broadcasts vegan,"В отзывах часто пишут: матчи, зерно, с животными нельзя.",bar late_hours terrace,1,1.0
5030,terrace_restaurant,кафе с открытой верандой,Соль на Тверской,cafe,кафе пускают с питомцами только навынос,cafe pet_friendly takeaway_only,"В отзывах часто пишут: ресторан, десерты, летняя площадка, капучино, только навынос.",good_coffee reservation restaurant terrace,0,0.5033
5031,late_pharmacy,аптека ночью,Место Daily,pharmacy,ночью открыто заказ онлайн сильная кухня работает допоздна рядом с метро,24h delivery good_food late_hours near_metro no_pets pharmacy,"В отзывах часто пишут: круглосуточно, с животными нельзя, фармацевт, рядом с метро, удобно с детьми.",family_friendly good_coffee live_music,1,1.0
5032,quiet_coworking,кофейня с розетками и wifi,Мята на Тверской,bar,бар заказ онлайн удобно с детьми gluten free,bar delivery family_friendly gluten_free,"В отзывах часто пишут: коктейли, хорошие блюда.",good_food loud_music,0,0.0
5033,romantic_jazz_bar,бар с живым джазом для свидания,Соль Лофт,bar,напитки кофе коктейли детское меню работает допоздна,bar cafe cocktails kids_room late_hours live_music no_pets,"В отзывах часто пишут: барная карта, поздние часы.",healthy_food jazz romantic wifi,1,1.0
5034,romantic_jazz_bar,бар с живым джазом для свидания,Город Daily,bar,коктейли коктейли без глютена концерты с животными нельзя,bar cocktails gluten_free live_music no_pets terrace,"В отзывах часто пишут: выступления, коктейли.",good_food jazz late_hours romantic,1,1.0
5035,vegan_food,ресторан с vegan меню,Оливка Лофт,restaurant,закрывается рано pet friendly веган вайфай,closed_evening pet_friendly vegan wifi,"В отзывах часто пишут: детские праздники, без молока и мяса.",kids_party loud_music meat_only quiet sports_broadcasts,0,0.43
5036,terrace_restaurant,ужин на летней террасе,Лампа Daily,restaurant,только для взрослых хорошие блюда ужин только навынос терраса,adults_only good_food restaurant takeaway_only terrace wifi,"В отзывах часто пишут: блюда, wifi, только навынос, только для взрослых.",bar family_friendly pharmacy,0,0.5767
5037,vegan_food,ресторан с vegan меню,Мята на углу,pharmacy,закрывается рано пускают с питомцами фармацевт только навынос растительное меню,closed_evening pet_friendly pharmacy takeaway_only vegan,"В отзывах часто пишут: аптека, хороший кофе, только навынос, веган.",good_coffee meat_only,0,0.43
5038,quiet_coworking,спокойное кафе для работы,Фонарь Плюс,cafe,джаз с животными нельзя растительное меню,jazz no_pets vegan,"В отзывах часто пишут: веган, вежливый персонал, с животными нельзя, десерты, заказ онлайн.",cafe delivery friendly_staff late_hours,0,0.26
5039,vegan_food,где поесть без мяса и молока,Город Station,restaurant,телевизоры здоровая еда резерв веранда wifi,big_screen healthy_food reservation terrace wifi,"В отзывах часто пишут: миска для собаки, вкусно, летняя площадка, wifi.",good_food kids_room meat_only restaurant water_for_pets,0,0.0
5040,kids_cafe,куда сходить с ребенком поесть,Атлас Room,cafe,кофе можно с собакой,cafe pet_friendly,"В отзывах часто пишут: уютный свет, дружелюбно к семье, детская комната, без глютена.",desserts family_friendly gluten_free high_chairs kids_room power_outlets romantic,1,1.0
5041,sports_bar,спортбар с трансляциями,Мята Плюс,pharmacy,ночью открыто напитки аптека резерв,24h bar pharmacy reservation,"В отзывах часто пишут: бар, заказ столика, 24 часа.",big_screen cafe healthy_food water_for_pets,0,0.4633
5042,sports_bar,бар посмотреть футбол,Лампа Room,bar,бар эль семейно трансляции,bar beer family_friendly sports_broadcasts,"В отзывах часто пишут: громкая музыка, ресторан.",late_hours loud_music quiet restaurant,0,0.5767
5043,romantic_jazz_bar,уютный джазовый бар,Мята на Тверской,bar,только для взрослых паб до ночи,adults_only bar late_hours,"В отзывах часто пишут: десерты, напитки, работает допоздна, без молока и мяса.",beer cafe noisy pet_friendly vegan,0,0.0
5044,pet_friendly,заведение с животными,Мята Лофт,bar,24 часа детские праздники можно с собакой,24h kids_party pet_friendly,"В отзывах часто пишут: очень шумно, трансляции, с животными нельзя.",jazz no_pets noisy sports_broadcasts,0,0.43
5045,terrace_restaurant,ресторан с верандой,Фонарь на углу,restaurant,закрывается рано заказ столика веранда,closed_evening reservation terrace,"В отзывах часто пишут: ресторан, закрывается рано.",cocktails restaurant,1,0.8533
5046,vegan_food,веганское кафе,Оливка Station,cafe,крафт только мясо тихо веган,beer meat_only quiet vegan,"В отзывах часто пишут: полезное меню, очень шумно, только мясо.",healthy_food noisy,0,0.5033
5047,late_pharmacy,круглосуточная аптека рядом,Фонарь на Тверской,restaurant,ночью открыто громкая музыка,24h loud_music,"В отзывах часто пишут: лекарства, громкая музыка.",big_screen delivery family_friendly good_coffee pharmacy,1,0.89
5048,kids_cafe,куда сходить с ребенком поесть,Лампа Station,cafe,кофейня заказ онлайн дружелюбно к семье здоровая еда,cafe delivery family_friendly healthy_food,"В отзывах часто пишут: до ночи, кофейня.",adults_only desserts kids_room late_hours live_music,0,0.5767
5049,romantic_jazz_bar,уютный джазовый бар,Атлас Station,bar,не шумно уютный свет летняя площадка wifi,quiet romantic terrace wifi,"В отзывах часто пишут: свидание, тихо, терраса, детские праздники, проектор.",big_screen family_friendly kids_party noisy restaurant,0,0.0
5050,terrace_restaurant,кафе с открытой верандой,Север Station,restaurant,коктейли хорошие блюда можно сидеть долго pet friendly ресторан,bar good_food long_stay pet_friendly restaurant terrace vegan,"В отзывах часто пишут: коктейли, живая музыка, хорошие блюда, только навынос, блюда.",family_friendly gluten_free live_music takeaway_only,0,0.5767
5051,romantic_jazz_bar,романтичный джаз-бар,Атлас на углу,restaurant,дружелюбно к семье джаз только навынос,family_friendly jazz takeaway_only,"В отзывах часто пишут: дружелюбно к семье, живая музыка, напитки, романтичный.",bar delivery kids_party kids_room live_music romantic,0,0.5033
5052,vegan_food,где поесть без мяса и молока,Фонарь на углу,pharmacy,лекарства,pharmacy,"В отзывах часто пишут: с животными нельзя, сильная кухня, растительное меню.",good_food healthy_food loud_music no_pets vegan,1,0.9267
5053,kids_cafe,семейное кафе с игровой комнатой,Фонарь на углу,cafe,кофейня саксофон без молока и мяса,cafe jazz vegan,"В отзывах часто пишут: кухня, джаз, веган.",restaurant,0,0.39
5054,terrace_restaurant,кафе с открытой верандой,Атлас Daily,restaurant,паб коктейли детские праздники блюда матчи,bar cocktails kids_party restaurant sports_broadcasts wifi,"В отзывах часто пишут: паб, очень шумно, поздние часы, ужин, wifi.",cocktails good_coffee late_hours noisy,0,0.39
5055,vegan_food,где поесть без мяса и молока,Город Station,bar,с животными нельзя pet friendly место для ноутбука без молока и мяса,no_pets pet_friendly power_outlets vegan,"В отзывах часто пишут: зарядка, хорошие блюда, с животными нельзя, спокойно, вайфай.",good_food quiet water_for_pets wifi,1,0.8533
5056,vegan_food,веганское кафе,Атлас Парк,restaurant,только для взрослых детские праздники только мясо рядом с метро кухня,adults_only kids_party meat_only near_metro restaurant terrace vegan,"В отзывах часто пишут: веган, только мясо.",beer late_hours wifi,0,0.43
5057,vegan_food,ресторан с vegan меню,Соль Парк,restaurant,удобные столы тихо,long_stay quiet,"В отзывах часто пишут: дружелюбно к семье, тихо, рядом с метро, можно сидеть долго.",family_friendly near_metro power_outlets,0,0.0
5058,kids_cafe,семейное кафе с игровой комнатой,Город Парк,cafe,только для взрослых кофе семейно аниматор pet friendly,adults_only cafe family_friendly kids_room pet_friendly,"В отзывах часто пишут: семейно, пускают с питомцами, детское меню.",high_chairs long_stay,0,0.5767
5059,kids_cafe,кафе для детей,Фонарь Парк,cafe,крафт кофе зерно high_chairs летняя площадка,beer cafe good_coffee high_chairs terrace vegan,"В отзывах часто пишут: десерты, крафт, вежливый персонал.",beer friendly_staff kids_room meat_only,1,0.8533
5060,pet_friendly,ресторан куда можно с собакой,Мята Плюс,bar,здоровая еда детские праздники с животными нельзя пускают с питомцами миска для собаки,healthy_food kids_party no_pets pet_friendly water_for_pets,"В отзывах часто пишут: круглосуточно, можно с собакой, летняя площадка, с животными нельзя.",24h loud_music power_outlets terrace,0,0.5767
5061,vegan_food,где поесть без мяса и молока,Мята Station,restaurant,большой экран,big_screen,"В отзывах часто пишут: хорошие блюда, доставка, без молока и мяса, закрывается рано, проектор.",closed_evening delivery good_food vegan,1,0.8533
5062,pet_friendly,заведение с животными,Мята Лофт,restaurant,заботливые официанты здоровая еда рядом с метро блюда летняя площадка,friendly_staff healthy_food near_metro restaurant terrace,"В отзывах часто пишут: терраса, коктейли, вежливый персонал.",cocktails loud_music,0,0.1467
5063,romantic_jazz_bar,бар с живым джазом для свидания,Атлас Room,bar,ночью открыто очень шумно,24h noisy,"В отзывах часто пишут: 24 часа, очень шумно.",kids_party long_stay,0,0.0
5064,late_pharmacy,где купить лекарства поздно,Север Daily,bar,авторские напитки без глютена растительное меню,cocktails gluten_free vegan,"В отзывах часто пишут: зарядка, с животными нельзя.",late_hours no_pets power_outlets,0,0.0
5065,vegan_food,где поесть без мяса и молока,Фонарь Парк,cafe,ночью открыто кафе аниматор можно сидеть долго,24h cafe kids_room long_stay,"В отзывах часто пишут: только мясо, ночью открыто, удобные столы, до ночи, аниматор.",good_coffee healthy_food late_hours meat_only,0,0.0
5066,pet_friendly,заведение с животными,Оливка Daily,restaurant,хороший кофе блюда матчи веранда,good_coffee restaurant sports_broadcasts terrace,"В отзывах часто пишут: очень шумно, летняя площадка, футбол, пускают с питомцами.",noisy pet_friendly power_outlets,1,0.8533
5067,kids_cafe,куда сходить с ребенком поесть,Оливка на углу,cafe,кофейня desserts заказ столика веган,cafe desserts reservation vegan,"В отзывах часто пишут: бронь, только навынос, desserts.",kids_room takeaway_only,1,0.8533
5068,late_pharmacy,где купить лекарства поздно,Место Room,bar,паб пиво коктейли живая музыка можно сидеть долго,bar beer cocktails jazz long_stay,"В отзывах часто пишут: уютный свет, не торопят, громкая музыка, коктейли.",closed_evening loud_music romantic,0,0.0
5069,sports_bar,паб с большим экраном,Оливка Плюс,pharmacy,заказ онлайн аптека растительное меню,delivery pharmacy vegan,"В отзывах часто пишут: лекарства, хороший кофе.",good_coffee pet_friendly quiet,0,0.0
5070,vegan_food,где поесть без мяса и молока,Атлас на углу,restaurant,очень шумно бронь ужин растительное меню,noisy reservation restaurant vegan,"В отзывах часто пишут: здоровая еда, бронь.",healthy_food kids_room,1,0.8533
5071,kids_cafe,семейное кафе с игровой комнатой,Оливка на Тверской,cafe,ночью открыто проектор кофе вежливый персонал тихо,24h big_screen cafe friendly_staff quiet,"В отзывах часто пишут: рядом с метро, кафе.",near_metro power_outlets,0,0.39
5072,terrace_restaurant,кафе с открытой верандой,Фонарь Station,restaurant,вкусно живая музыка терраса,good_food live_music terrace,"В отзывах часто пишут: летняя площадка, хорошие блюда, дружелюбно к семье.",adults_only family_friendly meat_only noisy restaurant takeaway_only,0,0.5767
5073,quiet_coworking,кофейня с розетками и wifi,Север Парк,cafe,кафе закрывается рано вежливый персонал растительное меню,cafe closed_evening friendly_staff vegan,"В отзывах часто пишут: десерты, заботливые официанты, громкая музыка, можно сидеть долго.",closed_evening long_stay loud_music reservation,0,0.0
5074,pet_friendly,заведение с животными,Место Плюс,restaurant,доставка pet friendly летняя площадка,delivery pet_friendly terrace,"В отзывах часто пишут: пускают с питомцами, уютный свет, веранда.",big_screen romantic water_for_pets,1,0.9267
5075,quiet_coworking,спокойное кафе для работы,Город Парк,cafe,кофе джаз можно сидеть долго романтичный футбол,cafe jazz long_stay romantic sports_broadcasts,"В отзывах часто пишут: вода питомцам, десерты, саксофон, удобные столы.",near_metro power_outlets water_for_pets,0,0.4067
5076,sports_bar,спортбар с трансляциями,Место Daily,pharmacy,круглосуточно громкая музыка с животными нельзя фармацевт,24h loud_music no_pets pharmacy,"В отзывах часто пишут: громкая музыка, закрывается рано.",big_screen closed_evening,0,0.0733
5077,quiet_coworking,кофейня с розетками и wifi,Город Парк,pharmacy,gluten free громкая музыка лекарства зарядка резерв,gluten_free loud_music pharmacy power_outlets reservation wifi,"В отзывах часто пишут: вкусно, семейно, хороший кофе, заказ столика, рядом с метро.",cafe family_friendly good_coffee good_food near_metro pet_friendly quiet,0,0.5767
5078,vegan_food,веганское кафе,Атлас Daily,bar,работает допоздна не торопят пускают с питомцами розетки,late_hours long_stay pet_friendly power_outlets,"В отзывах часто пишут: до ночи, pet friendly, полезное меню, можно сидеть долго.",healthy_food kids_room takeaway_only vegan,1,0.8533
5079,terrace_restaurant,ужин на летней террасе,Место Daily,cafe,зерно pet friendly летняя площадка,good_coffee pet_friendly terrace,"В отзывах часто пишут: заказ столика, коктейли, веранда, сильная кухня.",cocktails good_food reservation restaurant wifi,1,0.9267
5080,romantic_jazz_bar,уютный джазовый бар,Лампа на Тверской,cafe,здоровая еда можно с собакой,healthy_food pet_friendly,"В отзывах часто пишут: полезное меню, с животными нельзя, пускают с питомцами.",no_pets noisy,0,0.0
5081,terrace_restaurant,ужин на летней террасе,Лампа Station,pharmacy,дружелюбно к семье лекарства спокойно трансляции,family_friendly pharmacy quiet sports_broadcasts,"В отзывах часто пишут: дружелюбно к семье, заботливые официанты, фармацевт, футбол.",big_screen friendly_staff takeaway_only,0,0.0
5082,pet_friendly,pet friendly кафе,Город на углу,restaurant,эль ужин терраса,beer restaurant terrace,"В отзывах часто пишут: ужин, веранда, эль.",vegan,0,0.0733
5083,late_pharmacy,где купить лекарства поздно,Север Лофт,cafe,24 часа здоровая еда,24h healthy_food,"В отзывах часто пишут: полезное меню, доставка, у метро.",delivery kids_party loud_music near_metro pharmacy,1,1.0
5084,pet_friendly,ресторан куда можно с собакой,Оливка на Тверской,pharmacy,ночью открыто громкая музыка pet friendly аптека миска для собаки,24h loud_music pet_friendly pharmacy water_for_pets,"В отзывах часто пишут: pet friendly, 24 часа, резерв, громкая музыка.",adults_only friendly_staff no_pets power_outlets reservation,0,0.5767
5085,pet_friendly,ресторан куда можно с собакой,Лампа Плюс,pharmacy,крафт саксофон пускают с питомцами фармацевт,beer jazz pet_friendly pharmacy,"В отзывах часто пишут: работает допоздна, пускают с питомцами, с животными нельзя.",late_hours no_pets,0,0.43
5086,terrace_restaurant,ресторан с верандой,Мята Room,cafe,сильная кухня полезное меню концерты рядом с метро пускают с питомцами,good_food healthy_food live_music near_metro pet_friendly,"В отзывах часто пишут: бронь, вежливый персонал, пускают с питомцами, концерты, кафе.",beer cafe friendly_staff healthy_food reservation restaurant terrace,1,0.9267
5087,pet_friendly,ресторан куда можно с собакой,Место Лофт,bar,напитки громкая музыка пускают с питомцами свидание футбол,bar loud_music pet_friendly romantic sports_broadcasts,"В отзывах часто пишут: с животными нельзя, можно с собакой, кофе, громкая музыка.",cafe no_pets takeaway_only,0,0.43
5088,quiet_coworking,кофейня с розетками и wifi,Место Парк,restaurant,паб детские праздники заказ столика блюда вайфай,bar kids_party reservation restaurant wifi,"В отзывах часто пишут: ресторан, паб, детские праздники, вежливый персонал.",friendly_staff,0,0.26
5089,romantic_jazz_bar,романтичный джаз-бар,Место на углу,bar,напитки зерно,bar good_coffee,"В отзывах часто пишут: живая музыка, свидание.",jazz late_hours live_music power_outlets reservation romantic terrace vegan,1,0.9267
5090,sports_bar,бар посмотреть футбол,Город Daily,restaurant,напитки крафт до ночи ужин романтичный,bar beer late_hours restaurant romantic sports_broadcasts,"В отзывах часто пишут: поздние часы, детские праздники.",good_coffee kids_party terrace water_for_pets,1,0.9267
5091,kids_cafe,семейное кафе с игровой комнатой,Атлас Daily,bar,ночью открыто доставка работает допоздна очень шумно свидание,24h delivery late_hours noisy romantic,"В отзывах часто пишут: 24 часа, вайфай, веган, саксофон.",adults_only jazz long_stay vegan wifi,0,0.0
5092,kids_cafe,семейное кафе с игровой комнатой,Город на Тверской,bar,коктейли удобные столы очень шумно пускают с питомцами вайфай,bar long_stay noisy pet_friendly wifi,"В отзывах часто пишут: бар, крафт, пускают с питомцами, вкусно, вайфай.",beer good_food,0,0.0
5093,romantic_jazz_bar,романтичный джаз-бар,Город на углу,restaurant,кафе блюда романтичный летняя площадка вайфай,cafe restaurant romantic terrace wifi,"В отзывах часто пишут: уютный свет, вайфай, ресторан, летняя площадка, кафе.",beer cafe kids_party,0,0.0
5094,sports_bar,паб с большим экраном,Лампа Daily,bar,закрывается рано коктейли очень шумно пускают с питомцами матчи,closed_evening cocktails noisy pet_friendly sports_broadcasts water_for_pets,"В отзывах часто пишут: очень шумно, пускают с питомцами, закрывается рано, громкая музыка, коктейли.",loud_music,0,0.39
5095,late_pharmacy,где купить лекарства поздно,Мята Плюс,cafe,24 часа зерно поздние часы только мясо очень шумно,24h good_coffee late_hours meat_only noisy,"В отзывах часто пишут: вежливый персонал, ночью открыто, очень шумно, аптека, до ночи.",friendly_staff pharmacy,1,0.78
5096,late_pharmacy,где купить лекарства поздно,Оливка Плюс,bar,24 часа напитки детская комната трансляции,24h bar kids_room sports_broadcasts,"В отзывах часто пишут: аниматор, только для взрослых, паб, фармацевт.",adults_only pharmacy,1,0.78
5097,sports_bar,паб с большим экраном,Лампа на углу,pharmacy,удобные столы рядом с метро с животными нельзя лекарства,long_stay near_metro no_pets pharmacy,"В отзывах часто пишут: миска для собаки, ресторан.",friendly_staff healthy_food quiet restaurant water_for_pets,0,0.0
5098,late_pharmacy,аптека ночью,Оливка Плюс,cafe,большой экран заказ онлайн,big_screen delivery,"В отзывах часто пишут: телевизоры, доставка, аптека, можно сидеть долго, ночью открыто.",24h long_stay meat_only pharmacy restaurant,1,0.89
5099,kids_cafe,кафе для детей,Север Лофт,restaurant,большой экран кафе очень шумно блюда веранда,big_screen cafe noisy restaurant terrace,"В отзывах часто пишут: терраса, ресторан, кофейня.",adults_only beer kids_room pet_friendly,0,0.43
5100,pet_friendly,заведение с животными,Мята Лофт,restaurant,только для взрослых детские праздники только мясо ужин,adults_only kids_party meat_only restaurant,"В отзывах часто пишут: работает допоздна, только мясо.",friendly_staff late_hours pet_friendly terrace,1,0.9267
5101,vegan_food,где поесть без мяса и молока,Соль Station,bar,только для взрослых сильная кухня с животными нельзя трансляции без молока и мяса,adults_only good_food no_pets sports_broadcasts vegan wifi,"В отзывах часто пишут: с животными нельзя, растительное меню, миска для собаки, wifi.",delivery gluten_free live_music water_for_pets,1,0.9267
5102,late_pharmacy,круглосуточная аптека рядом,Соль на углу,pharmacy,сильная кухня детские праздники можно с собакой фармацевт терраса,good_food kids_party pet_friendly pharmacy terrace,"В отзывах часто пишут: терраса, фармацевт, только для взрослых, пускают с питомцами, живая музыка.",adults_only live_music terrace,0,0.39
5103,sports_bar,бар посмотреть футбол,Место на углу,restaurant,напитки детские праздники резерв ресторан трансляции,bar kids_party reservation restaurant sports_broadcasts terrace,"В отзывах часто пишут: авторские напитки, детские праздники.",cocktails,1,0.78
5104,late_pharmacy,где купить лекарства поздно,Город Плюс,cafe,24 часа футбол,24h sports_broadcasts,"В отзывах часто пишут: ночью открыто, трансляции.",long_stay pharmacy,1,0.78
5105,vegan_food,веганское кафе,Оливка Station,restaurant,авторские напитки бронь блюда терраса,cocktails reservation restaurant terrace,"В отзывах часто пишут: веранда, только мясо, блюда.",closed_evening family_friendly meat_only power_outlets wifi,0,0.0
